SMILES,NAME,NODES,SOLUTION_TIME,NUM_ROUTES,FINAL_NUM_RXN_MODEL_CALLS,final_num_value_model_calls
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,SAscore-linear-0.3,6690,291,0,291 (NOTE: this was less than the maximum budget),1329
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,SAscore-linear-0.3,10857,inf,0,500,1821
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,SAscore-linear-1.0,8922,396,0,396 (NOTE: this was less than the maximum budget),2130
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,SAscore-linear-1.0,11028,inf,0,500,3380
COc1ccc(C23Oc4cc(OC)cc(OC)c4C2(O)C(O)C(C(=O)NOCCO)C3c2ccccc2)cc1,GNN_NNSplitSingleMAXScore-10.0,25817,inf,0,500,10313
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNNEstimatorMAXScore-3.0,9133,417,0,417 (NOTE: this was less than the maximum budget),1887
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNNEstimatorMAXScore-3.0,10252,inf,0,500,2770
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNNEstimatorMAXScore-10.0,4879,196,0,196 (NOTE: this was less than the maximum budget),1447
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNNEstimatorMAXScore-10.0,4570,210,0,210 (NOTE: this was less than the maximum budget),1513
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNNEstimatorAVGScore-3.0,9222,423,0,423 (NOTE: this was less than the maximum budget),1900
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNNEstimatorAVGScore-3.0,10234,inf,0,500,2761
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNNEstimatorAVGScore-10.0,4926,198,0,198 (NOTE: this was less than the maximum budget),1451
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNNEstimatorAVGScore-10.0,4618,213,0,213 (NOTE: this was less than the maximum budget),1527
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN_NNSplitSingleMAXScore-3.0,9199,419,0,419 (NOTE: this was less than the maximum budget),1892
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN_NNSplitSingleMAXScore-3.0,10228,inf,0,500,2757
COc1ccc(C23Oc4cc(OC)cc(OC)c4C2(O)C(O)C(C(=O)NOCCO)C3c2ccccc2)cc1,GNN_NNSplitSingleAVGSCore-3.0,26346,inf,0,500,10333
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN_NNSplitSingleMAXScore-10.0,4948,199,0,199 (NOTE: this was less than the maximum budget),1455
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN_NNSplitSingleMAXScore-10.0,4574,210,0,210 (NOTE: this was less than the maximum budget),1515
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN_NNSplitSingleAVGSCore-3.0,9530,434,0,434 (NOTE: this was less than the maximum budget),1967
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN_NNSplitSingleAVGSCore-3.0,10224,inf,0,500,2761
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN_NNSplitSingleAVGSCore-10.0,4921,197,0,197 (NOTE: this was less than the maximum budget),1451
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN_NNSplitSingleAVGSCore-10.0,4580,211,0,211 (NOTE: this was less than the maximum budget),1516
